| name | position | department | school | degrees | research_interests |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Sunshine CHAN | [] | [] | ['The University of Edinburgh'] | ['Master of Science in Nursing Education', 'Doctor of Health Science'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Timothy LAI | ['SN'] | [''] | ['The Hong Kong Polytechnic University'] | ['Bachelor of Science in Clinical Nursing', 'Master of Science in Nursing'] | [''] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ricky LAU | [] | [] | ['Bachelor of Science in Nursing', 'The Hong Kong Polytechnic University\\nMaster of Social Science', 'City University of Hong Kong\\nMaster of Business Administration(Health Service Management)', 'University of Ballarat'] | ['Bachelor of Science in Nursing', 'The Hong Kong Polytechnic University\\nMaster of Social Science', 'City University of Hong Kong\\nMaster of Business Administration(Health Service Management)', 'University of Ballarat'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Kevin LEUNG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Joyce TANG | ['SN'] | ['N/A'] | ['University of Ballarat', 'The University of Hong Kong', 'Monash University'] | ['Bachelor of Nursing', 'Master of Social Sciences', 'Master in Counselling'] | ['N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| MS Joyce Tang | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Kitty CHAN | ['Academic Staff', 'Nurse'] | ['School of Nursing'] | ['Australian Catholic University', 'University of Bath'] | ['Bachelor of Health Science', 'Doctor of Philosophy'] | ['Renal Nursing', 'Critical Care Nursing', 'Education and Research in Nursing'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Cynthia WU | [] | ['Department of Systems Engineering and Engineering Management'] | ['Curtin University of Technology', 'The University of New South Wales', 'The Hong Kong Polytechnic University'] | ['Bachelor of Applied Science (Nursing)', 'Master of Health Administration', 'Doctor of Philosophy'] | ['Healthcare management and administration'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Kitty WONG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Bessie CHAN | ['SN'] | ['Nursing'] | ['The Chinese University of Hong Kong'] | ['Bachelor of Nursing', 'Master of Nursing'] | ['N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Esther CHAN | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Frankie CHAN | [] | ['Department of Health Sciences'] | ['The Chinese University of Hong Kong', 'The University of Western Sydney', 'The Hong Kong Polytechnic University'] | ['Postgraduate Diploma in Psychiatric/Mental Health Nursing', 'Bachelor of Health Science', 'Master of Science in Management (Health Services Management)'] | ['health services management'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Wai-shan CHAN | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Elaine CHEUNG | ['SN'] | ['N/A'] | ['The Chinese University of Hong Kong'] | ['Bachelor of Nursing', 'Master of Nursing'] | ['N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Frankie CHEUNG | ['SN'] | ['N/A'] | ['The University of Hong Kong'] | ['Bachelor of Nursing', 'Master of Nursing'] | ['N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Jeff FUNG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Keith FUNG | [] | ['Department of Community Medicine'] | ['The Chinese University of Hong Kong', 'The Hong Kong Polytechnic University'] | ['Diploma in Epidemiology and Applied Statistics', 'Master of Philosophy'] | ['epidemiology', 'applied statistics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Franky HA | ['Nursing Specialty Mentor', 'Bachelor of Nursing', 'Master of Science in Nursing'] | ['The Institute of Advanced Nursing Studies'] | ['The University of Hong Kong', 'The Hong Kong Polytechnic University'] | ['Bachelor of Nursing', 'Master of Science in Nursing'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Jacqueline MC HO | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Tommy HUNG | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Evangeline LAM | ['Post-Registration Diploma in Midwifery', 'Bachelor of Science in Nursing', 'Master of Public Health'] | ['Hospital Authority', 'The Hong Kong Polytechnic University', 'The Chinese University of Hong Kong'] | ['The Hong Kong Polytechnic University'] | ['Bachelor of Science in Nursing', 'Master of Public Health'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr William LAM | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Shirley LO | ['Clinical Associate'] | ['School of Nursing'] | ['University of London', 'University of Sheffield'] | ["Bachelor's degree in Laws", 'Ph', 'D'] | ['gerontological care', 'elder abuse'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Katherine CHANG | [] | [] | ['The Chinese University of Hong Kong', 'The Hong Kong Hospital Services Department', 'University of Western Sydney', 'The Hong Kong Polytechnic University'] | ['Graduate Diploma in Advanced Nursing', 'Diploma in General Nursing', 'Bachelor of Health Science', 'Master of Science', 'Doctor of Philosophy'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Betty CHUNG | [] | [] | ['The Hong Kong Services Department', 'The University of Sydney'] | ['Diploma in General Nursing', 'Bachelor of Nursing', 'Master of Nursing', 'Doctor of Health Sciences'] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Mr Harry CHAN | ['N/A'] | ['N/A'] | ['Bachelor of Nursing', 'The University of Hong Kong'] | ['Bachelor of Nursing', 'The University of Hong Kong'] | ['N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Ms Sophia CHOW | [] | [] | ['The University of Western Sydney'] | ['Bachelor of Health Science'] | ['health sciences'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Miss Wendy LEE | ['Certificate in Chinese Medical for Medical and Healthcare Professionals'] | ['School of Professional and Continuing Education', 'The University of Hong Kong'] | ['Kong Baptist University (School of Continuing Education Hong)'] | ['Professional Diploma in Health Counselling'] | ['Professional Diploma in Health Counselling'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. CHUNG Chi-yung | ['Head of Department and Chair Professor of Power Systems Engineering', 'BEng', 'PhD', 'PEng', 'FCAE', 'FIEEE', 'FEIC', 'FIET and FHKIE', 'Professor', 'NSERC/SaskPower Senior Industrial Research Chair in Smart Grid Technologies', 'SaskPower Chair in Power Systems Engineering', 'Member-at-Large (Smart Grid)', 'Member-at-Large (Global Outreach)', 'Past Chairman', 'General Chair', 'Co-Chair', 'Vice-Chairman', 'Technical Chairman', 'Honorary Secretary', 'Senior Editor', 'Consulting Editor', 'Vice Editor-in-Chief', 'Subject Editor', 'Editor', 'Editorial Board Member'] | ['Department of Electrical and Electronic Engineering'] | ['The Hong Kong Polytechnic University', 'University of Saskatchewan', 'University of Hong Kong', 'Bachelor of Engineering in Electrical Engineering'] | ['BEng (with First Class Honors)', 'Professor', 'PhD in Electrical Engineering', 'Doctor of Philosophy', 'The Hong Kong Polytechnic University'] | ['Power systems engineering', 'smart grid', 'micro grid', 'renewable energy', 'power system stability/control', 'planning and operation', 'applications of advanced optimization methods', 'power markets and electric vehicle charging', 'power system analysis', 'power electronics', 'and electrical machines', 'power systems', 'sustainable energy', 'modern power systems', 'clean energy', 'protection and control'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. CHAU Kwok-tong | ['Chair-Professor', 'Professor', 'Member of Engineering Panel', 'Member of Innovation and Technology Support Program Panel', 'Member of Incu-Tech/Incu-Bio Program Panel'] | ['Department of Electrical and Electronic Engineering'] | ['University of Hong Kong', 'Fellow of the Institute of Electrical and Electronics Engineers (FIEEE) for Contributions to Energy Systems for Electric and Hybrid Vehicles', 'N/A', 'Bachelor of Science in Engineering', 'University of Hong Kong\\nMaster of Philosophy', 'The University of Hong Kong\\nDoctor of Philosophy', 'The University of Hong Kong'] | ['B', 'Sc', '(Eng', ')', 'M', 'Phil', 'Ph', 'D', 'Fellow of the Institute of Engineering and Technology (FIET)', 'Fellow of the Hong Kong Institution of Engineers (FHKIE)', 'N/A', 'Bachelor of Science in Engineering', 'University of Hong Kong\\nMaster of Philosophy', 'The University of Hong Kong\\nDoctor of Philosophy', 'The University of Hong Kong'] | ['electrical energy engineering', 'Electrical Energy Engineering', 'with emphasis on Electric and Hybrid Vehicles', 'Renewable Energy Systems', 'and Power Electronics & Drives', 'N/A'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Wei Jin | ['Chair-Professor', 'of Photonic Instrumentation'] | ['Department of Electrical Engineering'] | ['Beijing University of Aeronautics and Astronautics', 'University of Strathclyde', 'Scotland', 'UK'] | ['BEng', 'MSc', 'PhD', 'SMIEEE', 'FOSA', 'MSPIE'] | ['optoelectronics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| JIN Wei | ['Professor'] | ['Department of Electrical and Electronic Engineering'] | ['National Taiwan University', 'Beijing University', 'University of Strathclyde'] | ['Ph', 'D', 'Bachelor of Engineering', 'Master of Science', 'Doctor of Philosophy'] | ['Electrical and Electronic Engineering', 'optical fiber sensors'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| LI Gang | ['Sir Sze-yuen Chung Endowed Professor in Renewable Energy', 'Chair Professor of Energy Conversion Technology', 'Research Associate Professor', 'Sir Sze-Yuen Chung Endowed Professor in Renewable Energy', 'Fellow'] | ['Department of Electrical and Electronic Engineering'] | ['Iowa State Univ', 'UCLA', 'Bachelor of Science', 'Wuhan University\\nMaster of Science', 'Iowa State University\\nDoctor of Philosophy', 'Iowa State University'] | ['PhD in Condensed Matter Physics', 'BS in Space Physics', 'MS in Electrical Engineering', 'PhD', 'Bachelor of Science\\nMaster of Science\\nDoctor of Philosophy'] | ['renewable energy', 'organic semiconductor', 'and organo-metal halide hybrid perovskite based thin-film optoelectronic devices'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. LIU Ai-Qun | ['Chair-Professor', 'Quantum Engineering and Science'] | ['Department of Electrical and Electronic Engineering'] | ["Xi'an Jiaotong University", 'Beijing University of Posts and Telecommunications', 'The National University of Singapore'] | ['Bachelor of Engineering', 'Master of Science', 'Doctor of Philosophy'] | ['quantum engineering and science'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. LU Chao | ['Chair Professor', 'Professor', 'Department of Electronic and Information Engineering'] | ['Department of Electrical and Electronic Engineering', 'Department of Electronic and Information Engineering'] | ['University of Manchester', 'NTU'] | ['PhD'] | ['Fiber Optics', 'optical communication and fibre devices'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| TAM Hwa-yaw | ['Academic Staff', 'Chair Professor of Photonics', 'BSc(Eng)', 'PhD', 'IEEE Fellow', 'OSA Fellow', 'CEng', 'MIET', 'Head of Department', 'Professor', 'Chartered Electrical Engineer', 'Member of the Institution of Engineering and Technology'] | ['Department of Electrical and Electronic Engineering', 'Department of Electrical Engineering'] | ['The University of Manchester (UK)', 'The Hong Kong Polytechnic University', 'The Victoria University of Manchester'] | ['BSc(Eng)', 'PhD', 'PhD in Electrical and Electronic Engineering', 'Bachelor of Science', 'Doctor of Philosophy', 'name', 'TAM Hwa-yaw', 'position', 'Chartered Electrical Engineer', 'Member of the Institution of Engineering and Technology', 'department', 'Department of Electrical and Electronic Engineering', 'research interests', 'laser technology', 'graduate schools', 'The Victoria University of Manchester', 'degrees'] | ['optical fibre amplifiers', 'erbium optical fiber amplifiers', 'fabrication of special optical silica fibres and polymer fibres', 'and complete optical fibre sensor solutions for various industries', 'including railways', 'smart buildings and medicines', 'optical fiber sensors', 'smart cities', 'and wireless sensor networks', 'laser technology'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Lap-Pui Chau | [] | [] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| CHAU Lap-Pui | ['general chairs', 'program chairs'] | ['Department of Electrical and Electronic Engineering'] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof CHENG Ka-wai Eric | ['Professor', 'IEE Sebastian Z De Ferranti Premium Award (1995)', 'outstanding consultancy award (2000)', 'Faculty Merit award for best teaching (2003)', 'Director of Power Electronics Research Center'] | ['Department of Electrical and Electronic Engineering'] | ['University of Bath', 'University of Birmingham', 'The University of Bath'] | ['BSc', 'PhD', 'Bachelor of Science', 'Doctor of Philosophy'] | ['Power Electronics', 'power electronics', 'medical robotics', 'intelligent clothing', 'DC distribution', 'electromagnetic modeling and excitation', 'super-capacitor to electric vehicles', 'active suspension', 'all aspects of power electronics', 'electric vehicles', 'electromagnetics', 'motor drives', 'renewable energy and energy systems'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. CHUNG Chin-shin Edward | ['Fellow of the Institution of Engineers', 'Australia', 'Professor'] | ['Department of Electrical and Electronic Engineering'] | ['Monash University'] | ['Bachelor of Engineering', 'Doctor of Philosophy', 'name', 'CHUNG Chin-shin Edward', 'position', 'Co-leader of iMOVE CRC', 'department', 'Department of Electrical and Electronic Engineering', 'research interests', 'industry-led research and to introduce rapidly evolving technologies in the areas of transport', 'logistics and connected mobility', 'graduate schools', 'Monash University', 'degrees'] | ['transport', 'logistics and connected mobility'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| HU Haibo | ['Professor', 'Programme Leader of BSc (Hons) in Information Security'] | ['Department of Electrical and Electronic Engineering'] | ['HKUST'] | ['PhD'] | ['cybersecurity', 'data privacy', 'internet of things', 'adversarial machine learning'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. LAM Kin-Man, Kenneth | ['Professor and Associate Dean (Teaching and Learning) of Faculty of Engineering', 'PhD (Sydney)', 'DIC', 'SrMIEEE', 'CEng', 'MHKIE', 'Secretary', 'Technical Chair', 'Technical Co-Chair', 'General Co-Chair', 'Professor', 'Director-Student Services', 'Director-Membership Services', 'Associate-Editor'] | ['Department of Electrical and Electronic Engineering'] | ['Imperial College of Science', 'Technology and Medicine', 'England', 'EURASIP Journal on Applied Signal Processing', 'Hong Kong Polytechnic'] | ['M', 'Sc', 'in communication engineering', 'Honorable Mention of the Annual Pattern Recognition Society Award', 'professional experiences', 'Chairman of the IEEE Hong Kong Chapter of Signal Processing', 'Guest Editor for the Special Issue on Biometric Signal Processing', 'Director-Student Services and the Director-Membership Services of the IEEE Signal Processing Society', 'Higher Diploma in Electronic Engineering', 'Associateship in Electronic Engineering', 'Master of Science', 'Doctor of Philosophy'] | ['communication engineering', 'signal processing', 'and control systems', 'biometric signal processing', 'human face recognition', 'image and video processing', 'and computer vision', 'Electronic Engineering'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| LAU Chung-Ming, Francis | ['Professor', 'Associate-Editor', 'Guest-Editor', 'Guest-Associate-Editor', 'Member of the Institute of Electrical and Electronics Engineers', 'Fellow of the Institution of Engineering and Technology', 'Fellow of The Institute of Electrical and Electronics Engineers', 'Chartered Electrical Engineer', 'Member of the Institution of Engineering and Technology'] | ['Department of Electrical and Electronic Engineering'] | ['King’s College London', 'University of London'] | ['BEng (Hons) in electrical and electronic engineering', 'PhD', 'Bachelor of Engineering', 'Doctor of Philosophy'] | ['channel coding', 'cooperative networks', 'wireless sensor networks', 'chaos-based digital communications', 'applications of complex-network theories', 'and wireless communications', 'Channel coding', 'Turbo codes', 'Iterative information processing', 'low-density parity-check code and turbo codes', 'physical-layer network coding', 'cooperative communication networks', 'wireless communications', 'applications of complex-network theories to communications'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. LAU Pak-tao Alan | ['Professor', 'Doctor'] | ['Department of Electrical and Electronic Engineering'] | ['University of Toronto', 'Stanford University', 'The Leland Stanford Junior University'] | ['B', 'A', 'Sc', 'M', 'Ph', 'D', 'Doctor of Philosophy in Electrical Engineering'] | ['wireless communication systems utilizing multiuser diversity', 'photonics', 'fiber-optic communications', 'signal processing', 'wireless communications'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. MAK Man-Wai | ['Prof', 'Dr', 'Interim Head of the Department of Electrical and Electronic Engineering'] | ['Department of Electrical and Electronic Engineering'] | ['National University of Singapore', 'Princeton University', 'University of Pennsylvania', 'St', "Jude Children's Research Hospital"] | ['PhD'] | ['speaker recognition', 'machine learning', 'bioinformatics', 'biomedical engineering', 'and bioinformatics'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. NIU Shuang-xia | ['Professor', 'PI', 'Head of the Department of Electrical and Electronic Engineering', 'Academic Staff', 'Department of Electrical and Electronic Engineering', 'Industrial Automation Innovation and Technology Commission', 'Research and Development of a Novel High-torque-density High-efficiency Motor with Synthetic Slots for In-wheel Direct Drive of Electric Vehicles'] | ['Department of Electrical and Electronic Engineering'] | ['Tianjin University', 'China', 'The University of Hong Kong', 'Research Grants Council (ECS)', 'Innovation and Technology Commission 1/12/14 → 31/05/16', 'PhD in Electrical Engineering', 'Tsinghua University', 'Beijing'] | ['BSc(Eng', ')', 'MSc(Eng', 'PhD', 'Doctor of Philosophy', 'A Novel Brushless and Gearless Electric Continuously Variable Transmission System for Plug-in HEVs', 'Ph', 'D', 'PhD in Electrical Engineering', 'The University of Hong Kong', 'in Electrical Engineering', 'M', 'S'] | ['Electromagnetic and microwave theory', 'and applications', 'Electric Vehicle Technologies', 'Renewable Energy Systems', 'Machines and Drives', 'Power Electronics Technology', 'Applied Electromagnetic', 'Numerical Methods and Optimization', 'electric machines', 'electric vehicles', 'renewable energy', 'Electrical Vehicle Technologies', 'Ammonia-powered Fuel-Cell Electric Vehicles Technologies', 'Energy-Efficiency Technologies', 'Electric Propulsion Systems', 'Dual-fed Flux-Modulated Electric Motor for Electric Vehicles', 'Sustainable and Renewable Energy Conversion System', 'Ultra-High Force Density Generator for Direct Wave Energy Generation', 'Stand-Alone Wind Energy AC/DC Supply System', 'Multi-port Permanent Magnet Wind Power DC Generator', 'Contra-Rotating Wind Energy Conversion System', 'Design of electric motors and drives', 'Hybrid-Excited Vernier Reluctance Machines', 'Memory Machines and Drives', 'Linear Machine and Drives', 'Magnetic-geared Machines', 'Double-Stator Machines', 'Modular Direct-Drive Fault-Tolerant Motor and Drives', 'etc', 'Wireless Power Transfer System Multi-directional Magnetic Resonant Wireless Power Transfer System', 'wind energy', 'power electronics', 'energy conversion systems', 'Metamaterials', 'low-frequency electrical engineering', 'magnetic metamaterials', 'wireless power transfer system', 'contactless charging systems', 'direct-drive linear-rotary motor', 'motor design and development', 'electric vehicle technology'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. OR Siu-wing Derek | ['Professor', 'Jury Committee Member of APEC Energy Smart Communities Initiative Best Practices Awards Program (2017)', 'Visiting Professor of Stanford University (2015)', 'Visiting Professor of UCLA (2014)', 'International Collaborator of NSF Nanosystems Engineering Research Center for Translational Applications of Nanoscale Multiferroic Systems (since 2013)', 'Assessor of Chang Jiang Scholars Program (since 2013)', 'Assessor of Academic Staff Promotion in Huazhong University of Science & Technology (since 2013)', 'Chief Science & Technology Advisor of Hangzhou Qianjiang Economic Development Area (since 2014)', 'Chief Science & Technology Advisor of Zhucheng Municipal People’s Government (since 2012)', 'Adjunct Professor of Zhejiang University (2010–2016)', 'Adjunct Professor of Shanghai Institute of Ceramics', 'Chinese Academy of Sciences (2004–2010)', 'Associate Editor of 3 SCI journals', 'Reviewer for 2 research funding schemes in France & China', 'Chair/Member of various professional bodies', 'examination boards & international conferences', 'etc'] | ['Department of Electrical and Electronic Engineering'] | ['The Hong Kong Polytechnic University', 'Higher Diploma in Marine Communication and Electronic Technology', 'Hong Kong Polytechnic\\nBachelor of Science in Engineering Physics', 'The Hong Kong Polytechnic University\\nMaster of Philosophy', 'The Hong Kong Polytechnic University\\nDoctor of Philosophy'] | ['BSc', 'MPhil', 'PhD', 'SMIEEE', 'MRGC', 'FCREC', 'Senior Member of the Institute of Electrical and Electronics Engineers\\nMember of the American Society of Mechanical Engineers'] | ['smart devices', 'self-sustainable/energy-harvesting wireless sensors', 'coil-free self-isolated circuit protection & control devices', 'electromagnetic wave nano-absorbers/-shields', 'waste energy harvesters & converters', 'green batteries & energy cells', 'sensori-actuators/-transducers', 'ultrasonic tools', 'self-sensing vibration absorbers/isolators/dampers', 'condition & health monitoring', 'signal analysis', 'processing & transmission', 'drives', 'control & automation', 'energy harvesting', 'conversion', 'storage & management', 'prognosis & diagnosis', 'nondestructive evaluation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. XU Zhao | ['Professor', 'Co-Principle Investigator', 'Leader of PolyU team', 'Co-Investigator'] | ['Department of Electrical and Electronic Engineering'] | ['B', 'Eng (ZJU)', 'M', 'Eng(NUS’pore)', 'PhD(UQ)', 'Hong Kong University', 'Candidate for foreign Associate Staff of Centre for Electric Technology', 'Technical University of Denmark', 'National University of Singapore'] | ['B', 'Eng', 'PhD', 'PhD in Electrical Engineering', 'Doctor of Philosophy'] | ['smart grid', 'renewable energy', 'power system engineering', 'energy storage', 'smart solar energy harvesting', 'storage and utilization', 'power electronics', 'power systems', 'renewable energy systems', 'Solar/wind/battery storage system design', 'control and hardware implementation', 'Electronic converter design', 'modeling/simulation and hardware implementation', 'Microgrid control and optimization', 'stability analysis and hardware implementation', 'Power system operation and control', 'and security analysis under high wind/solar penetration', 'Cyber-physical power system modeling and security analysis', 'Optimal and robust commitment/system dispatch considering uncertainties and risks', 'Emerging/Evolutionary optimization techniques for system operation and planning', 'Demand side management and control', 'modeling and simulation'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Prof. YU Changyuan | ['Professor', 'full-professor', 'adjunct-faculty-member'] | ['Department of Electrical and Electronic Engineering', 'Department of Electronic and Information Engineering'] | ['University of Southern California', 'National University of Singapore (NUS)', 'Tsinghua University', 'University of Miami'] | ['Ph', 'D', 'PhD', 'Bachelor of Science', 'Bachelor of Economics', 'Master of Science', 'Doctor of Philosophy'] | ['Photonic System Research', 'photonic devices', 'subsystems', 'optical fiber communication and sensor systems', 'and biomedical instruments', 'optoelectronics', 'microwave photonics', 'and biomedical engineering'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| ZHANG A-ping | ['Professor', 'Associate Professor'] | ['Department of Electrical and Electronic Engineering'] | ['The Hong Kong Polytechnic University'] | ['PhD'] | ['optical engineering', 'optical micro/nano-manufacturing technologies', 'photonic devices', 'sensors', 'and microsystem', 'interdisciplinary research and applications'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr BU Siqi | ['Assistant Professor', 'Associate Professor', 'Departmental Leader', 'Member of Faculty Board', 'Leader of Renewable Integration and Smartgrid Application (RISA) research lab', 'Research Program Leader of Center for Advances in Reliability and Safety (CAiRS)', 'Academic Staff', 'Department of Electrical and Electronic Engineering', '1+1 Science Tip-top Talent Scheme', 'Hong Kong Joint School Science Exhibition Scheme', 'advisor of IET Hong Kong Student Section', 'external examiner of Hong Kong Vocational Training Council', 'review panelist of National Natural Science Foundation of China', 'International Examiner of PhD Candidate Dissertation and Examination', 'committee officer of IET Hong Kong Power and Energy Section', 'committee member of IET Power Systems and Equipment Network UK', 'HKIE local representative', 'EMSD Appeal Board Panel Member', 'Editor', 'Principal Investigator', 'TSO and DSO coordination and optimization', 'Power and transport nexus: coordination and optimization', 'Carbon emission flow tracking', 'analysis and optimization', 'Power equipment predictive maintenance and Prognostics and Health Management (PHM)'] | ['Department of Electrical and Electronic Engineering'] | ['University of Leeds', 'UK', 'University of Warwick', 'Hong Kong', 'University of Manchester', "The Queen's University of Belfast"] | ['PhD in Electrical Engineering', 'Master of Science in Electrical Engineering', 'PhD in Electrical and Electronic Engineering', 'Doctor of Philosophy'] | ['power system stability analysis and operation control', 'considering renewable energy integration and smart grid application', 'Power system reliability', 'stochastic analysis and control of power systems', 'energy storage systems', 'renewable energy and its integration', 'smart grid and power system transients', 'power systems', 'renewable energy', 'energy storage', 'electric vehicles', 'smart grid', 'power electronics', 'power systems protection', 'power systems control', 'power systems stability', 'power systems optimization', 'power and energy', 'sustainable energy', 'electrical power and energy systems', 'clean energy', 'intelligent computation and data analytics in power system stability analysis and operation control', 'power system situational awareness', 'WAMS/PMU', 'Big Data technology', 'machine/deeping learning', 'power system stability', 'distributed energy resources', 'active distribution network', 'micro-grid', 'probabilistic/stochastic analysis', 'power system dynamics', 'power electronized power systems', 'transmission', 'distribution', 'cyber physical power system', 'TSO and DSO coordination and optimization', 'Power and transport nexus: coordination and optimization', 'Carbon emission flow tracking', 'analysis and optimization', 'Power equipment predictive maintenance and Prognostics and Health Management (PHM)'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr Cai Hong | ['Associate Professor'] | ['Department of Electrical and Electronic Engineering'] | [] | [] | [] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
| Dr CHAN Ka-wing Kevin | ['Associate Professor', 'Associate Head', 'lecturer', 'assistant professor', 'Chair Professor', 'On-going research projects are in the areas of: (1) transient stability constrained optimal power flow using analytical and/or computational intelligence techniques', '(2) on-line low frequency oscillation monitoring and control based on wide-area measurement system and self-adoptive control', '(3) self-evolution smart power dispatch for future smart grid with automatic generation and automatic voltage control using distributed reinforcement learning', 'multiple group search optimization', 'hybrid equilibrium theory', 'stochastic optimization and vehicle-to-grid technologies', '(4) on-line control and scheduling strategy of massive charging and discharging of plug-in electric vehicles for mitigating the intermittency of renewable energy generations and enhancing frequency regulation'] | ['Department of Electrical and Electronic Engineering'] | ['University of Bath (UK)', 'National Grid Control Centre', 'UK', 'The University of Bath'] | ['BSc(Hons)', 'Bachelor of Science', 'Doctor of Philosophy'] | ['real-time power system transient stability simulation', 'on-line dynamic security analysis', 'assessment and control', 'power system simulators', 'transient stability constrained optimal power flow', 'on-line low frequency oscillation monitoring and control', 'self-evolution smart power dispatch', 'on-line control and scheduling strategy of massive charging and discharging of plug-in electric vehicles', 'power system engineering', 'smart grids'] |

| name | position | department | school | degrees | research_interests |
| --- | --- | --- | --- | --- | --- |
